,UF,Município,População,Casos novos notificados na semana epidemiológica,Casos Acumulados,Incidência covid-19 (100 mil hab),Óbitos novos notificados na semana epidemiológica,Óbitos Acumulados,Taxa mortalidade (100 mil hab),Letalidade (%), Casos por 100 mil (recalc),Óbitos por 100 mil (recalc)
23,AL,Água Branca,20196,0,1132,,0,33,,2.9151943462897525,5605.070310952664,163.39869281045753
24,AL,Anadia,17545,0,1929,,0,41,,2.1254536029030584,10994.585351952122,233.68481048731834
25,AL,Arapiraca,231747,6,44311,274.4372095431656,0,602,1.294515139354555,1.358579133849383,19120.420113313223,259.766037963814
26,AL,Atalaia,47185,0,2425,,0,62,,2.556701030927835,5139.3451308678605,131.3976899438381
27,AL,Barra de Santo Antônio,15932,0,664,,0,34,,5.120481927710843,4167.712779312076,213.40697966357016
28,AL,Barra de São Miguel,8322,0,1139,,0,12,,1.0535557506584723,13686.613794760873,144.19610670511895
29,AL,Batalha,18232,0,1352,,0,26,,1.9230769230769231,7415.53312856516,142.60640631856077
30,AL,Belém,4344,0,283,,0,8,,2.8268551236749118,6514.732965009208,184.1620626151013
31,AL,Belo Monte,6704,0,741,,0,11,,1.484480431848853,11053.102625298328,164.08114558472553
32,AL,Boca da Mata,27281,0,2903,,0,54,,1.8601446779193935,10641.105531322166,197.9399582126755
33,AL,Branquinha,10494,0,1237,,0,17,,1.3742926434923202,11787.688202782543,161.99733180865258
34,AL,Cacimbinhas,10858,0,1166,,0,13,,1.1149228130360207,10738.625897955424,119.72738994289925
35,AL,Cajueiro,21264,0,968,,0,36,,3.71900826446281,4552.294958615501,169.3002257336343
36,AL,Campestre,6936,0,319,,0,7,,2.19435736677116,4599.19261822376,100.92272202998846
37,AL,Campo Alegre,57063,0,3444,,0,88,,2.5551684088269457,6035.434519741339,154.21551618386695
38,AL,Campo Grande,9558,0,685,,0,13,,1.897810218978102,7166.771291065076,136.01171793262188
39,AL,Canapi,17722,0,732,,0,18,,2.459016393442623,4130.459316104277,101.56867170748222
40,AL,Capela,17053,0,1521,,0,20,,1.314924391847469,8919.251744561074,117.28141675951444
41,AL,Carneiros,9081,0,518,,0,11,,2.1235521235521233,5704.217597180927,121.1320339169695
42,AL,Chã Preta,7311,0,500,,0,12,,2.4,6839.00971139379,164.13623307345097
43,AL,Coité do Nóia,10693,0,829,,0,23,,2.7744270205066344,7752.735434396333,215.0939867202843
44,AL,Colônia Leopoldina,21698,0,557,,0,23,,4.129263913824058,2567.0568716010694,106.00055304636372
45,AL,Coqueiro Seco,5845,0,628,,0,9,,1.4331210191082804,10744.225834046194,153.97775876817792
46,AL,Coruripe,56933,0,6240,,0,74,,1.185897435897436,10960.251523720864,129.97734178771537
47,AL,Craíbas,24219,0,1742,,0,35,,2.009184845005741,7192.699946323135,144.51463726826046
48,AL,Delmiro Gouveia,52016,0,6725,,0,151,,2.2453531598513012,12928.714241771762,290.29529375576743
49,AL,Dois Riachos,11075,0,924,,0,10,,1.0822510822510822,8343.115124153499,90.29345372460496
50,AL,Estrela de Alagoas,18205,0,830,,0,25,,3.0120481927710845,4559.187036528426,137.32491073880803
51,AL,Feira Grande,22166,0,1203,,0,25,,2.0781379883624274,5427.2308941622305,112.78534692772713
52,AL,Feliz Deserto,4754,0,233,,0,5,,2.1459227467811157,4901.135885570046,105.17458981909971
53,AL,Flexeiras,12790,0,849,,0,22,,2.5912838633686692,6637.998436278343,172.00938232994528
54,AL,Girau do Ponciano,40917,0,2486,,0,54,,2.1721641190667738,6075.714250800401,131.97448493291296
55,AL,Ibateguara,15616,0,1105,,0,23,,2.0814479638009047,7076.075819672132,147.28483606557376
56,AL,Igaci,25631,0,2396,,0,39,,1.62771285475793,9348.05508954001,152.15949436229565
57,AL,Igreja Nova,24499,0,2376,,0,24,,1.0101010101010102,9698.355034899383,97.96318217070086
58,AL,Inhapi,18385,0,881,,0,23,,2.6106696935300793,4791.949959205875,125.10198531411477
59,AL,Jacaré dos Homens,5253,0,725,,0,5,,0.6896551724137931,13801.637159718255,95.18370454978108
60,AL,Jacuípe,7021,0,378,,0,4,,1.0582010582010581,5383.848454636091,56.97194131890044
61,AL,Japaratinga,8361,0,772,,0,16,,2.072538860103627,9233.345293625163,191.36466929793087
62,AL,Jaramataia,5770,0,360,,0,5,,1.3888888888888888,6239.168110918545,86.65511265164645
63,AL,Jequiá da Praia,11580,0,893,,0,14,,1.5677491601343785,7711.571675302245,120.89810017271157
64,AL,Joaquim Gomes,23993,0,1017,,0,28,,2.753195673549656,4238.736298086942,116.70070437210855
65,AL,Jundiá,4155,0,201,,0,5,,2.4875621890547266,4837.545126353791,120.33694344163659
66,AL,Junqueiro,24727,0,1358,,0,54,,3.9764359351988214,5491.972337930198,218.38476159663526
67,AL,Lagoa da Canoa,17852,0,2269,,0,26,,1.1458792419568091,12710.06049742326,145.64194488012546
68,AL,Limoeiro de Anadia,28635,0,2411,,0,38,,1.5761094981335544,8419.766020604155,132.7047319713637
69,AL,Maceió,1018948,13,137404,46.22414490238953,0,3261,0.686983045258443,2.373293353905272,13484.888335813013,320.03595865539756
70,AL,Major Isidoro,19804,0,1366,,0,26,,1.903367496339678,6897.596445162593,131.2866087659059
71,AL,Mar Vermelho,3514,0,396,,0,4,,1.0101010101010102,11269.20887877063,113.83039271485487
72,AL,Maragogi,32704,0,2849,,0,56,,1.9656019656019657,8711.472602739725,171.23287671232876
73,AL,Maravilha,9163,0,537,,0,21,,3.910614525139665,5860.526028593255,229.1825821237586
74,AL,Marechal Deodoro,51901,0,9017,,0,132,,1.4639015193523346,17373.461012311902,254.33035972331942
75,AL,Maribondo,13264,0,819,,0,19,,2.31990231990232,6174.607961399276,143.24487334137515
76,AL,Mata Grande,25216,0,1200,,0,28,,2.3333333333333335,4758.883248730964,111.04060913705584
77,AL,Matriz de Camaragibe,24642,0,1776,,0,45,,2.5337837837837838,7207.207207207207,182.61504747991236
78,AL,Messias,17856,0,1991,,0,34,,1.7076845806127574,11150.313620071685,190.4121863799283
79,AL,Minador do Negrão,5329,0,504,,0,10,,1.984126984126984,9457.684368549446,187.6524676299493
80,AL,Monteirópolis,7159,0,314,,0,17,,5.414012738853503,4386.087442380221,237.46333286771898
81,AL,Murici,28236,0,1321,,0,56,,4.239212717638153,4678.424706049015,198.32837512395525
82,AL,Novo Lino,12690,0,417,,0,14,,3.357314148681055,3286.052009456265,110.32308904649331
83,AL,Olho d'Água das Flores,21688,0,2209,,0,46,,2.082390221819828,10185.35595721136,212.09885651051272
84,AL,Olho d'Água do Casado,9373,0,244,,0,8,,3.278688524590164,2603.222020697749,85.35154166222128
85,AL,Olho d'Água Grande,5123,0,254,,0,10,,3.937007874015748,4958.032402888933,195.19812609798944
86,AL,Olivença,11624,0,635,,0,18,,2.8346456692913384,5462.835512732278,154.8520302821748
87,AL,Ouro Branco,11496,0,1027,,0,13,,1.2658227848101267,8933.542101600557,113.08281141266528
88,AL,Palestina,5011,0,585,,0,5,,0.8547008547008548,11674.316503691878,99.78048293753741
89,AL,Palmeira dos Índios,73218,1,7857,,0,197,,2.5073183148784524,10730.967794804557,269.059520882843
90,AL,Pão de Açúcar,24399,0,1609,,0,35,,2.175264139216905,6594.532562809952,143.4485019877864
91,AL,Pariconha,10533,0,1100,,0,11,,1.0,10443.368461027247,104.4336846102725
92,AL,Paripueira,13176,0,603,,0,29,,4.809286898839138,4576.502732240438,220.09714632665452
93,AL,Passo de Camaragibe,15245,0,989,,0,24,,2.4266936299292214,6487.37290915054,157.4286651361102
94,AL,Paulo Jacinto,7564,0,662,,0,16,,2.416918429003021,8751.983077736648,211.52829190904282
95,AL,Penedo,63683,1,5781,,0,105,,1.816294758692268,9077.775858549378,164.87916712466435
96,AL,Piaçabuçu,17827,1,1616,,0,26,,1.608910891089109,9064.901553822852,145.84618836596172
97,AL,Pilar,35111,1,5417,,0,68,,1.2553073657005722,15428.21338042209,193.67149896043975
98,AL,Pindoba,2908,0,298,,0,4,,1.342281879194631,10247.592847317743,137.5515818431912
99,AL,Piranhas,25039,0,1985,,0,29,,1.4609571788413098,7927.632892687407,115.81932185790167
100,AL,Poço das Trincheiras,14386,0,759,,0,15,,1.9762845849802373,5275.962741554289,104.26803837063811
101,AL,Porto Calvo,27165,0,1384,,0,50,,3.6127167630057806,5094.791091478005,184.06037180195105
102,AL,Porto de Pedras,7786,0,650,,0,15,,2.307692307692308,8348.31749293604,192.65348060621628
103,AL,Porto Real do Colégio,20066,0,812,,0,24,,2.955665024630542,4046.64606797568,119.60530250174425
104,AL,Quebrangulo,11294,0,1571,,0,16,,1.0184595798854232,13910.040729590934,141.66814237648308
105,AL,Rio Largo,75120,0,5541,,0,196,,3.5372676412199966,7376.198083067093,260.91586794462194
106,AL,Roteiro,6664,0,469,,0,14,,2.9850746268656714,7037.81512605042,210.08403361344537
107,AL,Santa Luzia do Norte,7296,0,900,,0,12,,1.3333333333333335,12335.526315789473,164.4736842105263
108,AL,Santana do Ipanema,47654,0,6929,,0,115,,1.659691153124549,14540.227473034793,241.3228690141436
109,AL,Santana do Mundaú,10740,0,1019,,0,19,,1.8645731108930326,9487.895716945995,176.90875232774675
110,AL,São Brás,6961,0,522,,0,6,,1.1494252873563218,7498.922568596467,86.194512282718
111,AL,São José da Laje,23927,0,1498,,0,39,,2.6034712950600802,6260.70965854474,162.99577882726626
112,AL,São José da Tapera,32260,1,1654,,0,46,,2.781136638452237,5127.092374457533,142.59144451332918
113,AL,São Luís do Quitunde,34555,0,1695,,0,28,,1.6519174041297935,4905.223556648821,81.03024164375633
114,AL,São Miguel dos Campos,61251,0,6310,,0,115,,1.8225039619651346,10301.872622487796,187.75203670144163
115,AL,São Miguel dos Milagres,7951,0,389,,0,16,,4.113110539845758,4892.466356433153,201.23254936485978
116,AL,São Sebastião,34152,0,2297,,0,43,,1.872006965607314,6725.814007964394,125.90770672288592
117,AL,Satuba,13828,0,1825,,0,47,,2.5753424657534247,13197.859415678335,339.89007810240093
118,AL,Senador Rui Palmeira,13870,0,467,,0,13,,2.7837259100642395,3366.979091564528,93.72746935832733
119,AL,Tanque d'Arca,6162,0,536,,0,14,,2.6119402985074625,8698.474521259332,227.19896137617656
